Site,Avg. Measure,Measure1,Measure2,Measure3,Measure4,Measure5
Quartz,68.4,70,72,67,70,63
TIME,70.4,71,69,67,74,71
NYT,72.4,76,68,72,75,71
FiveThirtyEight,74.8,75,81,71,75,72
VICE News,75.4,72,78,78,75,74
The Guardian,75.6,76,79,74,75,74
Fox News,75.8,77,74,77,76,75
The Atlantic,76.8,77,73,78,76,80
NBC News,78,77,79,78,81,75
HuffPo,80,84,80,74,83,79
CBS News,81.4,82,78,83,80,84
NPR,82,85,80,81,86,78
Bloomberg,82.8,81,87,81,85,80
USA Today,84,79,88,88,81,84
LA Times,84.2,80,87,85,87,82
ABC News,89.2,83,88,88,91,96
CNN,91,91,90,94,92,88
Vox,91.4,90,91,98,90,88
Reuters,94.4,97,96,94,93,92
WashPo,101.6,100,105,93,114,96